3ount,O3,O5,O4,W24,W25,W13,W15,W14,W23,W46,W56,W36,Err1,Err3,Err2,Err5,Err4,Err6,O6
1,0.73105858,0.99330715,0.01798621,-3.02805392,0.47737314,-3.04461163,3.98868657,1.98597304,1.91077673,0.67959447,0.37308326,-0.62939316,0.00000000,-0.00446116,0.00000000,-0.00113134,-0.00140270,-0.11345098,0.83872377
2,0.68502063,0.99292040,0.01678842,-3.05539065,0.47098214,-2.87914228,3.98549107,1.97230468,2.24171544,0.65913852,-0.83674641,-1.46406055,0.00000000,0.01654694,0.00000000,-0.00031955,-0.00136684,-0.12184558,0.48767849
3,0.83261692,0.99280720,0.01569681,-3.05777956,0.47238380,-2.85521082,3.98619190,1.97111022,2.28957836,0.65729747,-0.95319073,-1.56171649,0.00000000,0.00239315,0.00000000,0.00007008,-0.00011945,-0.01172880,0.11512957
4,0.84863640,0.99283218,0.01560480,-3.05940818,0.47347794,-2.83903201,3.98673897,1.97029591,2.32193599,0.65603895,-1.03326209,-1.63015854,0.00000000,0.00161788,0.00000000,0.00005471,-0.00008143,-0.00806494,0.09436801
5,0.85873708,0.99285162,0.01554238,-3.06064722,0.47438314,-2.82682727,3.98719157,1.96967639,2.34634547,0.65507971,-1.09453868,-1.68315788,0.00000000,0.00122047,0.00000000,0.00004526,-0.00006195,-0.00617178,0.08199406
6,0.86597894,0.99286766,0.01549505,-3.06164752,0.47515899,-2.81705038,3.98757949,1.96917624,2.36589923,0.65430420,-1.14423069,-1.72649924,0.00000000,0.00097769,0.00000000,0.00003879,-0.00005002,-0.00500490,0.07349781
7,0.87155163,0.99288138,0.01545695,-3.06248611,0.47584010,-2.80891143,3.98792005,1.96875695,2.38217715,0.65365331,-1.18604049,-1.76319989,0.00000000,0.00081390,0.00000000,0.00003406,-0.00004193,-0.00421096,0.06718825
8,0.87603892,0.99289341,0.01542508,-3.06320780,0.47644850,-2.80195149,3.98822425,1.96839610,2.39609702,0.65309262,-1.22213137,-1.79504321,0.00000000,0.00069599,0.00000000,0.00003042,-0.00003608,-0.00363492,0.06225957
9,0.87976880,0.99290413,0.01539770,-3.06384100,0.47699916,-2.79588020,3.98849958,1.96807950,2.40823960,0.65260027,-1.25388021,-1.82317446,0.00000000,0.00060713,0.00000000,0.00002753,-0.00003166,-0.00319757,0.05827028
10,0.88294293,0.99291382,0.01537372,-3.06440488,0.47750274,-2.79050217,3.98875137,1.96779756,2.41899565,0.65216149,-1.28221864,-1.84837425,0.00000000,0.00053780,0.00000000,0.00002518,-0.00002819,-0.00285407,0.05495483
11,0.88569366,0.99292268,0.01535240,-3.06491301,0.47796715,-2.78567970,3.98898358,1.96754350,2.42864059,0.65176585,-1.30780693,-1.87119917,0.00000000,0.00048225,0.00000000,0.00002322,-0.00002541,-0.00257707,0.05214244
12,0.88811220,0.99293083,0.01533321,-3.06537530,0.47839841,-2.78131212,3.98919920,1.96731235,2.43737576,0.65140569,-1.33113022,-1.89206034,0.00000000,0.00043676,0.00000000,0.00002156,-0.00002311,-0.00234893,0.04971747
13,0.89026389,0.99293839,0.01531577,-3.06579926,0.47880120,-2.77732362,3.98940060,1.96710037,2.44535275,0.65107521,-1.35255557,-1.91127021,0.00000000,0.00039885,0.00000000,0.00002014,-0.00002120,-0.00215777,0.04759845
14,0.89219704,0.99294545,0.01529979,-3.06619068,0.47917928,-2.77365575,3.98958964,1.96690466,2.45268850,0.65076993,-1.37236747,-1.92907192,0.00000000,0.00036679,0.00000000,0.00001890,-0.00001957,-0.00199527,0.04572607
15,0.89394830,0.99295207,0.01528505,-3.06655416,0.47953567,-2.77026247,3.98976784,1.96672292,2.45947507,0.65048633,-1.39079089,-1.94565840,0.00000000,0.00033933,0.00000000,0.00001782,-0.00001817,-0.00185542,0.04405596
16,0.89554608,0.99295830,0.01527138,-3.06689336,0.47987288,-2.76710689,3.98993644,1.96655332,2.46578622,0.65022156,-1.40800681,-1.96118539,0.00000000,0.00031556,0.00000000,0.00001686,-0.00001696,-0.00173380,0.04255421
17,0.89701281,0.99296419,0.01525864,-3.06721130,0.48019298,-2.76415903,3.99009649,1.96639435,2.47168193,0.64997329,-1.42416302,-1.97578040,0.00000000,0.00029479,0.00000000,0.00001601,-0.00001590,-0.00162707,0.04119435
18,0.89836649,0.99296978,0.01524670,-3.06751044,0.48049773,-2.76139418,3.99024886,1.96624478,2.47721163,0.64973961,-1.43938176,-1.98954920,0.00000000,0.00027649,0.00000000,0.00001524,-0.00001496,-0.00153265,0.03995540
19,0.89962177,0.99297510,0.01523547,-3.06779285,0.48078861,-2.75879174,3.99039430,1.96610358,2.48241651,0.64951892,-1.45376527,-2.00258046,0.00000000,0.00026024,0.00000000,0.00001454,-0.00001412,-0.00144853,0.03882049
20,0.90079071,0.99298017,0.01522488,-3.06806028,0.48106690,-2.75633437,3.99053345,1.96596986,2.48733126,0.64930987,-1.46739997,-2.01494930,0.00000000,0.00024574,0.00000000,0.00001391,-0.00001337,-0.00137311,0.03777586
21,0.90188335,0.99298502,0.01521486,-3.06831423,0.48133370,-2.75400732,3.99066685,1.96584289,2.49198535,0.64911130,-1.48035953,-2.02671988,0.00000000,0.00023270,0.00000000,0.00001334,-0.00001270,-0.00130511,0.03681017
22,0.90290815,0.99298966,0.01520535,-3.06855596,0.48158999,-2.75179798,3.99079499,1.96572202,2.49640404,0.64892222,-1.49270728,-2.03794748,0.00000000,0.00022093,0.00000000,0.00001281,-0.00001209,-0.00124349,0.03591399
23,0.90387226,0.99299412,0.01519631,-3.06878658,0.48183660,-2.74969544,3.99091830,1.96560671,2.50060912,0.64874178,-1.50449804,-2.04868001,0.00000000,0.00021025,0.00000000,0.00001233,-0.00001153,-0.00118740,0.03507937
24,0.90478181,0.99299841,0.01518768,-3.06900706,0.48207427,-2.74769024,3.99103714,1.96549647,2.50461952,0.64856923,-1.51577961,-2.05895934,0.00000000,0.00020052,0.00000000,0.00001188,-0.00001102,-0.00113611,0.03429961
25,0.90564207,0.99300254,0.01517944,-3.06921824,0.48230368,-2.74577409,3.99115184,1.96539088,2.50845182,0.64840392,-1.52659387,-2.06882220,0.00000000,0.00019161,0.00000000,0.00001147,-0.00001056,-0.00108905,0.03356896
26,0.90645761,0.99300652,0.01517155,-3.06942086,0.48252540,-2.74393972,3.99126270,1.96528957,2.51212057,0.64824527,-1.53697777,-2.07830106,0.00000000,0.00018344,0.00000000,0.00001109,-0.00001013,-0.00104570,0.03288248
27,0.90723242,0.99301037,0.01516398,-3.06961557,0.48273996,-2.74218069,3.99136998,1.96519222,2.51563863,0.64809277,-1.54696404,-2.08742470,0.00000000,0.00017590,0.00000000,0.00001073,-0.00000974,-0.00100566,0.03223592
28,0.90796999,0.99301409,0.01515671,-3.06980297,0.48294784,-2.74049129,3.99147392,1.96509852,2.51901742,0.64794597,-1.55658183,-2.09621880,0.00000000,0.00016894,0.00000000,0.00001039,-0.00000937,-0.00096855,0.03162556
29,0.90867339,0.99301770,0.01514972,-3.06998357,0.48314946,-2.73886643,3.99157473,1.96500822,2.52226714,0.64780446,-1.56585719,-2.10470634,0.00000000,0.00016249,0.00000000,0.00001008,-0.00000903,-0.00093406,0.03104816
30,0.90934536,0.99302119,0.01514299,-3.07015784,0.48334521,-2.73730155,3.99167260,1.96492108,2.52539690,0.64766789,-1.57481352,-2.11290797,0.00000000,0.00015649,0.00000000,0.00000979,-0.00000871,-0.00090193,0.03050086
31,0.90998831,0.99302458,0.01513649,-3.07032621,0.48353543,-2.73579254,3.99176772,1.96483690,2.52841492,0.64753591,-1.58347191,-2.12084234,0.00000000,0.00015090,0.00000000,0.00000951,-0.00000842,-0.00087192,0.02998115
32,0.91060442,0.99302787,0.01513022,-3.07048905,0.48372045,-2.73433570,3.99186023,1.96475547,2.53132859,0.64740823,-1.59185140,-2.12852632,0.00000000,0.00014568,0.00000000,0.00000925,-0.00000814,-0.00084383,0.02948679
33,0.91119561,0.99303108,0.01512415,-3.07064672,0.48390056,-2.73292769,3.99195028,1.96467664,2.53414462,0.64728460,-1.59996930,-2.13597523,0.00000000,0.00014080,0.00000000,0.00000901,-0.00000788,-0.00081749,0.02901578
34,0.91176363,0.99303419,0.01511828,-3.07079952,0.48407603,-2.73156547,3.99203802,1.96460024,2.53686907,0.64716475,-1.60784134,-2.14320301,0.00000000,0.00013622,0.00000000,0.00000877,-0.00000764,-0.00079273,0.02856637
35,0.91231006,0.99303723,0.01511260,-3.07094775,0.48424711,-2.73024625,3.99212355,1.96452612,2.53950749,0.64704847,-1.61548188,-2.15022243,0.00000000,0.00013192,0.00000000,0.00000855,-0.00000741,-0.00076941,0.02813694
36,0.91283631,0.99304018,0.01510708,-3.07109166,0.48441401,-2.72896753,3.99220700,1.96445417,2.54206494,0.64693556,-1.62290407,-2.15704516,0.00000000,0.00012787,0.00000000,0.00000835,-0.00000720,-0.00074742,0.02772607
37,0.91334368,0.99304306,0.01510173,-3.07123150,0.48457695,-2.72772698,3.99228847,1.96438425,2.54454605,0.64682582,-1.63011996,-2.16368192,0.00000000,0.00012406,0.00000000,0.00000815,-0.00000699,-0.00072664,0.02733246
38,0.91383336,0.99304588,0.01509653,-3.07136749,0.48473612,-2.72652247,3.99236806,1.96431625,2.54695506,0.64671909,-1.63714064,-2.17014258,0.00000000,0.00012045,0.00000000,0.00000796,-0.00000680,-0.00070698,0.02695494
39,0.91430640,0.99304863,0.01509148,-3.07149983,0.48489171,-2.72535205,3.99244585,1.96425009,2.54929589,0.64661521,-1.64397632,-2.17643624,0.00000000,0.00011704,0.00000000,0.00000778,-0.00000662,-0.00068835,0.02659245
40,0.91476380,0.99305131,0.01508656,-3.07162871,0.48504387,-2.72421393,3.99252194,1.96418565,2.55157214,0.64651403,-1.65063645,-2.18257131,0.00000000,0.00011381,0.00000000,0.00000761,-0.00000644,-0.00067067,0.02624402
41,0.91520646,0.99305394,0.01508177,-3.07175430,0.48519277,-2.72310643,3.99259638,1.96412285,2.55378714,0.64641541,-1.65712975,-2.18855559,0.00000000,0.00011075,0.00000000,0.00000744,-0.00000628,-0.00065387,0.02590876
42,0.91563520,0.99305650,0.01507711,-3.07187676,0.48533854,-2.72202802,3.99266927,1.96406162,2.55594396,0.64631924,-1.66346434,-2.19439631,0.00000000,0.00010784,0.00000000,0.00000729,-0.00000612,-0.00063789,0.02558588
43,0.91605080,0.99305901,0.01507256,-3.07199625,0.48548133,-2.72097726,3.99274067,1.96400188,2.55804548,0.64622539,-1.66964773,-2.20010020,0.00000000,0.00010508,0.00000000,0.00000714,-0.00000597,-0.00062266,0.02527462
44,0.91645394,0.99306147,0.01506813,-3.07211290,0.48562126,-2.71995283,3.99281063,1.96394355,2.56009434,0.64613375,-1.67568692,-2.20567352,0.00000000,0.00010244,0.00000000,0.00000700,-0.00000583,-0.00060814,0.02497431
45,0.91684529,0.99306388,0.01506380,-3.07222684,0.48575844,-2.71895349,3.99287922,1.96388658,2.56209302,0.64604423,-1.68158846,-2.21112211,0.00000000,0.00009993,0.00000000,0.00000686,-0.00000570,-0.00059428,0.02468434
46,0.91722544,0.99306625,0.01505958,-3.07233819,0.48589300,-2.71797810,3.99294650,1.96383090,2.56404381,0.64595673,-1.68735844,-2.21645143,0.00000000,0.00009754,0.00000000,0.00000673,-0.00000557,-0.00058103,0.02440411
47,0.91759496,0.99306856,0.01505545,-3.07244707,0.48602502,-2.71702556,3.99301251,1.96377646,2.56594887,0.64587116,-1.69300255,-2.22166659,0.00000000,0.00009525,0.00000000,0.00000660,-0.00000544,-0.00056835,0.02413309
48,0.91795437,0.99307083,0.01505141,-3.07255359,0.48615462,-2.71609489,3.99307731,1.96372321,2.56781022,0.64578744,-1.69852615,-2.22677238,0.00000000,0.00009307,0.00000000,0.00000648,-0.00000533,-0.00055621,0.02387081
49,0.91830416,0.99307306,0.01504746,-3.07265783,0.48628187,-2.71518514,3.99314094,1.96367108,2.56962973,0.64570550,-1.70393423,-2.23177328,0.00000000,0.00009098,0.00000000,0.00000636,-0.00000521,-0.00054458,0.02361679
50,0.91864477,0.99307525,0.01504360,-3.07275991,0.48640688,-2.71429542,3.99320344,1.96362005,2.57140917,0.64562525,-1.70923150,-2.23667352,0.00000000,0.00008897,0.00000000,0.00000625,-0.00000510,-0.00053342,0.02337061
51,0.91897662,0.99307740,0.01503982,-3.07285989,0.48652972,-2.71342490,3.99326486,1.96357006,2.57315019,0.64554664,-1.71442238,-2.24147707,0.00000000,0.00008705,0.00000000,0.00000614,-0.00000500,-0.00052271,0.02313188
52,0.91930011,0.99307951,0.01503612,-3.07295787,0.48665047,-2.71257282,3.99332524,1.96352107,2.57485437,0.64546959,-1.71951103,-2.24618767,0.00000000,0.00008521,0.00000000,0.00000604,-0.00000490,-0.00051241,0.02290024
53,0.91961562,0.99308159,0.01503249,-3.07305392,0.48676921,-2.71173842,3.99338460,1.96347304,2.57652315,0.64539405,-1.72450139,-2.25080885,0.00000000,0.00008344,0.00000000,0.00000594,-0.00000480,-0.00050251,0.02267534
54,0.91992348,0.99308362,0.01502894,-3.07314812,0.48688599,-2.71092103,3.99344300,1.96342594,2.57815793,0.64531996,-1.72939714,-2.25534394,0.00000000,0.00008174,0.00000000,0.00000584,-0.00000471,-0.00049299,0.02245686
55,0.92022403,0.99308563,0.01502545,-3.07324053,0.48700090,-2.71012000,3.99350045,1.96337973,2.57976001,0.64524727,-1.73420180,-2.25979608,0.00000000,0.00008010,0.00000000,0.00000575,-0.00000462,-0.00048381,0.02224450
56,0.92051756,0.99308760,0.01502203,-3.07333122,0.48711399,-2.70933469,3.99355699,1.96333439,2.58133062,0.64517592,-1.73891866,-2.26416826,0.00000000,0.00007853,0.00000000,0.00000565,-0.00000453,-0.00047497,0.02203798
57,0.92080437,0.99308954,0.01501868,-3.07342026,0.48722531,-2.70856454,3.99361266,1.96328987,2.58287092,0.64510586,-1.74355086,-2.26846329,0.00000000,0.00007702,0.00000000,0.00000557,-0.00000445,-0.00046644,0.02183705
58,0.92108473,0.99309145,0.01501539,-3.07350770,0.48733494,-2.70780899,3.99366747,1.96324615,2.58438202,0.64503706,-1.74810137,-2.27268385,0.00000000,0.00007555,0.00000000,0.00000548,-0.00000437,-0.00045822,0.02164145
59,0.92135889,0.99309333,0.01501215,-3.07359359,0.48744292,-2.70706752,3.99372146,1.96320320,2.58586496,0.64496946,-1.75257300,-2.27683248,0.00000000,0.00007415,0.00000000,0.00000540,-0.00000429,-0.00045027,0.02145095
60,0.92162709,0.99309518,0.01500898,-3.07367800,0.48754930,-2.70633964,3.99377465,1.96316100,2.58732073,0.64490304,-1.75696842,-2.28091159,0.00000000,0.00007279,0.00000000,0.00000532,-0.00000422,-0.00044260,0.02126534
61,0.92188957,0.99309701,0.01500586,-3.07376096,0.48765413,-2.70562487,3.99382706,1.96311952,2.58875026,0.64483773,-1.76129017,-2.28492346,0.00000000,0.00007148,0.00000000,0.00000524,-0.00000415,-0.00043518,0.02108441
62,0.92214653,0.99309880,0.01500279,-3.07384253,0.48775746,-2.70492277,3.99387873,1.96307873,2.59015446,0.64477352,-1.76554067,-2.28887028,0.00000000,0.00007021,0.00000000,0.00000517,-0.00000408,-0.00042800,0.02090797
63,0.92239818,0.99310057,0.01499978,-3.07392275,0.48785933,-2.70423292,3.99392966,1.96303862,2.59153416,0.64471036,-1.76972221,-2.29275412,0.00000000,0.00006899,0.00000000,0.00000509,-0.00000401,-0.00042106,0.02073584
64,0.92264472,0.99310232,0.01499682,-3.07400167,0.48795979,-2.70355492,3.99397989,1.96299916,2.59289017,0.64464823,-1.77383699,-2.29657697,0.00000000,0.00006780,0.00000000,0.00000502,-0.00000395,-0.00041434,0.02056784
65,0.92288632,0.99310404,0.01499390,-3.07407933,0.48805887,-2.70288837,3.99402944,1.96296034,2.59422326,0.64458708,-1.77788708,-2.30034069,0.00000000,0.00006665,0.00000000,0.00000495,-0.00000388,-0.00040782,0.02040382
66,0.92312317,0.99310573,0.01499104,-3.07415576,0.48815662,-2.70223292,3.99407831,1.96292212,2.59553417,0.64452689,-1.78187448,-2.30404711,0.00000000,0.00006555,0.00000000,0.00000489,-0.00000382,-0.00040151,0.02024361
67,0.92335543,0.99310741,0.01498821,-3.07423101,0.48825307,-2.70158821,3.99412654,1.96288450,2.59682358,0.64446763,-1.78580108,-2.30769792,0.00000000,0.00006447,0.00000000,0.00000482,-0.00000376,-0.00039539,0.02008708
68,0.92358325,0.99310906,0.01498544,-3.07430510,0.48834826,-2.70095391,3.99417413,1.96284745,2.59809217,0.64440927,-1.78966871,-2.31129479,0.00000000,0.00006343,0.00000000,0.00000476,-0.00000370,-0.00038945,0.01993409
69,0.92380678,0.99311069,0.01498270,-3.07437808,0.48844222,-2.70032971,3.99422111,1.96281096,2.59934058,0.64435178,-1.79347910,-2.31483927,0.00000000,0.00006242,0.00000000,0.00000470,-0.00000365,-0.00038368,0.01978449
70,0.92402617,0.99311229,0.01498001,-3.07444998,0.48853499,-2.69971530,3.99426749,1.96277501,2.60056940,0.64429514,-1.79723390,-2.31833287,0.00000000,0.00006144,0.00000000,0.00000464,-0.00000359,-0.00037808,0.01963819
71,0.92424155,0.99311388,0.01497736,-3.07452082,0.48862659,-2.69911039,3.99431329,1.96273959,2.60177921,0.64423933,-1.80093472,-2.32177703,0.00000000,0.00006049,0.00000000,0.00000458,-0.00000354,-0.00037265,0.01949504
72,0.92445306,0.99311545,0.01497475,-3.07459064,0.48871706,-2.69851471,3.99435853,1.96270468,2.60297059,0.64418432,-1.80458306,-2.32517313,0.00000000,0.00005957,0.00000000,0.00000452,-0.00000349,-0.00036736,0.01935494
73,0.92466081,0.99311699,0.01497217,-3.07465947,0.48880642,-2.69792798,3.99440321,1.96267027,2.60414405,0.64413008,-1.80818039,-2.32852249,0.00000000,0.00005867,0.00000000,0.00000447,-0.00000344,-0.00036223,0.01921780
74,0.92486492,0.99311852,0.01496963,-3.07472733,0.48889471,-2.69734995,3.99444736,1.96263634,2.60530011,0.64407661,-1.81172810,-2.33182639,0.00000000,0.00005780,0.00000000,0.00000441,-0.00000339,-0.00035723,0.01908349
75,0.92506551,0.99312003,0.01496713,-3.07479425,0.48898195,-2.69678038,3.99449097,1.96260288,2.60643925,0.64402387,-1.81522754,-2.33508603,0.00000000,0.00005696,0.00000000,0.00000436,-0.00000335,-0.00035237,0.01895193
76,0.92526268,0.99312152,0.01496467,-3.07486025,0.48906816,-2.69621903,3.99453408,1.96256987,2.60756194,0.64397185,-1.81868000,-2.33830259,0.00000000,0.00005613,0.00000000,0.00000431,-0.00000330,-0.00034764,0.01882303
77,0.92545654,0.99312299,0.01496223,-3.07492537,0.48915338,-2.69566568,3.99457669,1.96253732,2.60866864,0.64392052,-1.82208672,-2.34147718,0.00000000,0.00005533,0.00000000,0.00000426,-0.00000326,-0.00034303,0.01869669
78,0.92564718,0.99312444,0.01495984,-3.07498961,0.48923762,-2.69512011,3.99461881,1.96250519,2.60975977,0.64386988,-1.82544888,-2.34461090,0.00000000,0.00005456,0.00000000,0.00000421,-0.00000321,-0.00033854,0.01857284
79,0.92583471,0.99312588,0.01495747,-3.07505302,0.48932091,-2.69458212,3.99466046,1.96247349,2.61083575,0.64381989,-1.82876763,-2.34770478,0.00000000,0.00005380,0.00000000,0.00000416,-0.00000317,-0.00033417,0.01845139
80,0.92601920,0.99312730,0.01495513,-3.07511560,0.48940327,-2.69405151,3.99470164,1.96244220,2.61189698,0.64377055,-1.83204406,-2.35075982,0.00000000,0.00005306,0.00000000,0.00000412,-0.00000313,-0.00032991,0.01833226
81,0.92620075,0.99312871,0.01495283,-3.07517737,0.48948472,-2.69352808,3.99474236,1.96241131,2.61294384,0.64372184,-1.83527924,-2.35377698,0.00000000,0.00005234,0.00000000,0.00000407,-0.00000309,-0.00032576,0.01821539
82,0.92637944,0.99313010,0.01495055,-3.07523837,0.48956529,-2.69301165,3.99478264,1.96238081,2.61397670,0.64367375,-1.83847420,-2.35675719,0.00000000,0.00005164,0.00000000,0.00000403,-0.00000305,-0.00032171,0.01810071
83,0.92655535,0.99313147,0.01494831,-3.07529860,0.48964499,-2.69250204,3.99482249,1.96235070,2.61499592,0.64362625,-1.84162990,-2.35970135,0.00000000,0.00005096,0.00000000,0.00000398,-0.00000301,-0.00031775,0.01798814
84,0.92672856,0.99313283,0.01494609,-3.07535809,0.48972384,-2.69199909,3.99486192,1.96232095,2.61600183,0.64357933,-1.84474730,-2.36261031,0.00000000,0.00005030,0.00000000,0.00000394,-0.00000297,-0.00031390,0.01787762
85,0.92689914,0.99313418,0.01494390,-3.07541686,0.48980186,-2.69150262,3.99490093,1.96229157,2.61699476,0.64353299,-1.84782731,-2.36548490,0.00000000,0.00004965,0.00000000,0.00000390,-0.00000294,-0.00031013,0.01776910
86,0.92706715,0.99313551,0.01494174,-3.07547491,0.48987907,-2.69101248,3.99493953,1.96226255,2.61797504,0.64348720,-1.85087081,-2.36832594,0.00000000,0.00004901,0.00000000,0.00000386,-0.00000290,-0.00030645,0.01766251
87,0.92723268,0.99313682,0.01493960,-3.07553227,0.48995548,-2.69052851,3.99497774,1.96223386,2.61894297,0.64344195,-1.85387866,-2.37113419,0.00000000,0.00004840,0.00000000,0.00000382,-0.00000287,-0.00030286,0.01755779
88,0.92739578,0.99313812,0.01493749,-3.07558896,0.49003112,-2.69005058,3.99501556,1.96220552,2.61989885,0.64339724,-1.85685167,-2.37391040,0.00000000,0.00004779,0.00000000,0.00000378,-0.00000283,-0.00029936,0.01745490
